,window10,avg(count)
52,"Row(start=datetime.datetime(2016, 7, 26, 7, 25), end=datetime.datetime(2016, 7, 26, 7, 35))",32.1
53,"Row(start=datetime.datetime(2016, 7, 26, 6, 5), end=datetime.datetime(2016, 7, 26, 6, 15))",29.1
54,"Row(start=datetime.datetime(2016, 7, 28, 7, 55), end=datetime.datetime(2016, 7, 28, 8, 5))",6.5
55,"Row(start=datetime.datetime(2016, 7, 27, 19, 5), end=datetime.datetime(2016, 7, 27, 19, 15))",33.8
56,"Row(start=datetime.datetime(2016, 7, 27, 9, 25), end=datetime.datetime(2016, 7, 27, 9, 35))",32.5
57,"Row(start=datetime.datetime(2016, 7, 28, 6, 15), end=datetime.datetime(2016, 7, 28, 6, 25))",32.6
58,"Row(start=datetime.datetime(2016, 7, 26, 9, 25), end=datetime.datetime(2016, 7, 26, 9, 35))",31.6
59,"Row(start=datetime.datetime(2016, 7, 28, 0, 45), end=datetime.datetime(2016, 7, 28, 0, 55))",32.4
60,"Row(start=datetime.datetime(2016, 7, 28, 4, 35), end=datetime.datetime(2016, 7, 28, 4, 45))",35.2
61,"Row(start=datetime.datetime(2016, 7, 28, 1, 55), end=datetime.datetime(2016, 7, 28, 2, 5))",34.0
62,"Row(start=datetime.datetime(2016, 7, 26, 21, 15), end=datetime.datetime(2016, 7, 26, 21, 25))",33.1
63,"Row(start=datetime.datetime(2016, 7, 27, 10, 15), end=datetime.datetime(2016, 7, 27, 10, 25))",34.8
64,"Row(start=datetime.datetime(2016, 7, 27, 21, 55), end=datetime.datetime(2016, 7, 27, 22, 5))",30.7
65,"Row(start=datetime.datetime(2016, 7, 26, 4, 45), end=datetime.datetime(2016, 7, 26, 4, 55))",10.3
66,"Row(start=datetime.datetime(2016, 7, 27, 11, 15), end=datetime.datetime(2016, 7, 27, 11, 25))",32.2
67,"Row(start=datetime.datetime(2016, 7, 26, 5, 5), end=datetime.datetime(2016, 7, 26, 5, 15))",19.1
68,"Row(start=datetime.datetime(2016, 7, 27, 6, 5), end=datetime.datetime(2016, 7, 27, 6, 15))",32.2
69,"Row(start=datetime.datetime(2016, 7, 27, 13, 5), end=datetime.datetime(2016, 7, 27, 13, 15))",34.3
70,"Row(start=datetime.datetime(2016, 7, 27, 19, 25), end=datetime.datetime(2016, 7, 27, 19, 35))",32.4
71,"Row(start=datetime.datetime(2016, 7, 27, 18, 45), end=datetime.datetime(2016, 7, 27, 18, 55))",34.1
72,"Row(start=datetime.datetime(2016, 7, 27, 16, 5), end=datetime.datetime(2016, 7, 27, 16, 15))",30.6
73,"Row(start=datetime.datetime(2016, 7, 26, 4, 55), end=datetime.datetime(2016, 7, 26, 5, 5))",17.8
74,"Row(start=datetime.datetime(2016, 7, 26, 19, 5), end=datetime.datetime(2016, 7, 26, 19, 15))",33.5
75,"Row(start=datetime.datetime(2016, 7, 27, 22, 15), end=datetime.datetime(2016, 7, 27, 22, 25))",34.2
76,"Row(start=datetime.datetime(2016, 7, 27, 14, 15), end=datetime.datetime(2016, 7, 27, 14, 25))",34.9
77,"Row(start=datetime.datetime(2016, 7, 26, 18, 5), end=datetime.datetime(2016, 7, 26, 18, 15))",33.8
78,"Row(start=datetime.datetime(2016, 7, 26, 8, 45), end=datetime.datetime(2016, 7, 26, 8, 55))",36.0
79,"Row(start=datetime.datetime(2016, 7, 27, 3, 55), end=datetime.datetime(2016, 7, 27, 4, 5))",30.8
80,"Row(start=datetime.datetime(2016, 7, 28, 6, 45), end=datetime.datetime(2016, 7, 28, 6, 55))",22.5
81,"Row(start=datetime.datetime(2016, 7, 26, 19, 55), end=datetime.datetime(2016, 7, 26, 20, 5))",33.8
82,"Row(start=datetime.datetime(2016, 7, 27, 4, 5), end=datetime.datetime(2016, 7, 27, 4, 15))",34.0
83,"Row(start=datetime.datetime(2016, 7, 27, 2, 25), end=datetime.datetime(2016, 7, 27, 2, 35))",31.3
84,"Row(start=datetime.datetime(2016, 7, 27, 15, 35), end=datetime.datetime(2016, 7, 27, 15, 45))",33.9
85,"Row(start=datetime.datetime(2016, 7, 28, 0, 25), end=datetime.datetime(2016, 7, 28, 0, 35))",35.0
86,"Row(start=datetime.datetime(2016, 7, 26, 9, 15), end=datetime.datetime(2016, 7, 26, 9, 25))",36.1
87,"Row(start=datetime.datetime(2016, 7, 27, 1, 35), end=datetime.datetime(2016, 7, 27, 1, 45))",30.7
88,"Row(start=datetime.datetime(2016, 7, 28, 1, 5), end=datetime.datetime(2016, 7, 28, 1, 15))",30.2
89,"Row(start=datetime.datetime(2016, 7, 27, 1, 45), end=datetime.datetime(2016, 7, 27, 1, 55))",33.5
90,"Row(start=datetime.datetime(2016, 7, 27, 11, 55), end=datetime.datetime(2016, 7, 27, 12, 5))",33.3
91,"Row(start=datetime.datetime(2016, 7, 28, 2, 45), end=datetime.datetime(2016, 7, 28, 2, 55))",34.4
92,"Row(start=datetime.datetime(2016, 7, 26, 8, 15), end=datetime.datetime(2016, 7, 26, 8, 25))",33.0
93,"Row(start=datetime.datetime(2016, 7, 26, 22, 5), end=datetime.datetime(2016, 7, 26, 22, 15))",34.7
94,"Row(start=datetime.datetime(2016, 7, 26, 19, 25), end=datetime.datetime(2016, 7, 26, 19, 35))",35.2
95,"Row(start=datetime.datetime(2016, 7, 26, 6, 45), end=datetime.datetime(2016, 7, 26, 6, 55))",32.6
96,"Row(start=datetime.datetime(2016, 7, 27, 2, 15), end=datetime.datetime(2016, 7, 27, 2, 25))",34.1
97,"Row(start=datetime.datetime(2016, 7, 27, 9, 45), end=datetime.datetime(2016, 7, 27, 9, 55))",33.9
98,"Row(start=datetime.datetime(2016, 7, 28, 1, 35), end=datetime.datetime(2016, 7, 28, 1, 45))",33.4
99,"Row(start=datetime.datetime(2016, 7, 28, 1, 25), end=datetime.datetime(2016, 7, 28, 1, 35))",33.8
100,"Row(start=datetime.datetime(2016, 7, 27, 15, 5), end=datetime.datetime(2016, 7, 27, 15, 15))",33.4
101,"Row(start=datetime.datetime(2016, 7, 27, 10, 35), end=datetime.datetime(2016, 7, 27, 10, 45))",31.7
102,"Row(start=datetime.datetime(2016, 7, 26, 20, 15), end=datetime.datetime(2016, 7, 26, 20, 25))",32.8
103,"Row(start=datetime.datetime(2016, 7, 26, 22, 25), end=datetime.datetime(2016, 7, 26, 22, 35))",33.0
104,"Row(start=datetime.datetime(2016, 7, 26, 8, 5), end=datetime.datetime(2016, 7, 26, 8, 15))",32.6
105,"Row(start=datetime.datetime(2016, 7, 27, 2, 35), end=datetime.datetime(2016, 7, 27, 2, 45))",35.6
106,"Row(start=datetime.datetime(2016, 7, 26, 15, 25), end=datetime.datetime(2016, 7, 26, 15, 35))",34.3
107,"Row(start=datetime.datetime(2016, 7, 26, 16, 45), end=datetime.datetime(2016, 7, 26, 16, 55))",32.8
108,"Row(start=datetime.datetime(2016, 7, 26, 16, 15), end=datetime.datetime(2016, 7, 26, 16, 25))",33.5
109,"Row(start=datetime.datetime(2016, 7, 27, 5, 45), end=datetime.datetime(2016, 7, 27, 5, 55))",35.0
110,"Row(start=datetime.datetime(2016, 7, 27, 2, 45), end=datetime.datetime(2016, 7, 27, 2, 55))",32.5
111,"Row(start=datetime.datetime(2016, 7, 27, 21, 45), end=datetime.datetime(2016, 7, 27, 21, 55))",34.2
112,"Row(start=datetime.datetime(2016, 7, 27, 21, 35), end=datetime.datetime(2016, 7, 27, 21, 45))",33.0
113,"Row(start=datetime.datetime(2016, 7, 27, 3, 35), end=datetime.datetime(2016, 7, 27, 3, 45))",34.5
114,"Row(start=datetime.datetime(2016, 7, 27, 8, 25), end=datetime.datetime(2016, 7, 27, 8, 35))",34.0
115,"Row(start=datetime.datetime(2016, 7, 26, 19, 35), end=datetime.datetime(2016, 7, 26, 19, 45))",34.3
116,"Row(start=datetime.datetime(2016, 7, 26, 23, 55), end=datetime.datetime(2016, 7, 27, 0, 5))",33.8
117,"Row(start=datetime.datetime(2016, 7, 27, 16, 15), end=datetime.datetime(2016, 7, 27, 16, 25))",32.6
118,"Row(start=datetime.datetime(2016, 7, 28, 2, 5), end=datetime.datetime(2016, 7, 28, 2, 15))",36.0
119,"Row(start=datetime.datetime(2016, 7, 28, 5, 45), end=datetime.datetime(2016, 7, 28, 5, 55))",31.2
