,window10,avg(count)
229,"Row(start=datetime.datetime(2016, 7, 27, 7, 25), end=datetime.datetime(2016, 7, 27, 7, 35))",31.0
230,"Row(start=datetime.datetime(2016, 7, 28, 6, 35), end=datetime.datetime(2016, 7, 28, 6, 45))",32.0
231,"Row(start=datetime.datetime(2016, 7, 26, 16, 25), end=datetime.datetime(2016, 7, 26, 16, 35))",33.9
232,"Row(start=datetime.datetime(2016, 7, 27, 14, 5), end=datetime.datetime(2016, 7, 27, 14, 15))",33.0
233,"Row(start=datetime.datetime(2016, 7, 26, 17, 55), end=datetime.datetime(2016, 7, 26, 18, 5))",32.7
234,"Row(start=datetime.datetime(2016, 7, 26, 9, 55), end=datetime.datetime(2016, 7, 26, 10, 5))",34.0
235,"Row(start=datetime.datetime(2016, 7, 26, 5, 45), end=datetime.datetime(2016, 7, 26, 5, 55))",26.7
236,"Row(start=datetime.datetime(2016, 7, 26, 15, 45), end=datetime.datetime(2016, 7, 26, 15, 55))",34.5
237,"Row(start=datetime.datetime(2016, 7, 27, 0, 5), end=datetime.datetime(2016, 7, 27, 0, 15))",33.1
238,"Row(start=datetime.datetime(2016, 7, 27, 12, 5), end=datetime.datetime(2016, 7, 27, 12, 15))",32.7
239,"Row(start=datetime.datetime(2016, 7, 27, 0, 15), end=datetime.datetime(2016, 7, 27, 0, 25))",31.5
240,"Row(start=datetime.datetime(2016, 7, 28, 0, 55), end=datetime.datetime(2016, 7, 28, 1, 5))",34.9
241,"Row(start=datetime.datetime(2016, 7, 27, 15, 25), end=datetime.datetime(2016, 7, 27, 15, 35))",32.7
242,"Row(start=datetime.datetime(2016, 7, 27, 11, 25), end=datetime.datetime(2016, 7, 27, 11, 35))",33.8
243,"Row(start=datetime.datetime(2016, 7, 28, 2, 25), end=datetime.datetime(2016, 7, 28, 2, 35))",30.9
244,"Row(start=datetime.datetime(2016, 7, 26, 17, 35), end=datetime.datetime(2016, 7, 26, 17, 45))",33.1
245,"Row(start=datetime.datetime(2016, 7, 27, 8, 5), end=datetime.datetime(2016, 7, 27, 8, 15))",34.4
246,"Row(start=datetime.datetime(2016, 7, 27, 16, 55), end=datetime.datetime(2016, 7, 27, 17, 5))",31.4
247,"Row(start=datetime.datetime(2016, 7, 26, 22, 45), end=datetime.datetime(2016, 7, 26, 22, 55))",33.4
248,"Row(start=datetime.datetime(2016, 7, 27, 0, 45), end=datetime.datetime(2016, 7, 27, 0, 55))",35.7
249,"Row(start=datetime.datetime(2016, 7, 27, 1, 5), end=datetime.datetime(2016, 7, 27, 1, 15))",31.7
250,"Row(start=datetime.datetime(2016, 7, 26, 11, 25), end=datetime.datetime(2016, 7, 26, 11, 35))",33.3
251,"Row(start=datetime.datetime(2016, 7, 26, 21, 55), end=datetime.datetime(2016, 7, 26, 22, 5))",33.4
252,"Row(start=datetime.datetime(2016, 7, 27, 21, 15), end=datetime.datetime(2016, 7, 27, 21, 25))",31.8
253,"Row(start=datetime.datetime(2016, 7, 27, 8, 35), end=datetime.datetime(2016, 7, 27, 8, 45))",33.8
254,"Row(start=datetime.datetime(2016, 7, 28, 2, 15), end=datetime.datetime(2016, 7, 28, 2, 25))",33.1
255,"Row(start=datetime.datetime(2016, 7, 27, 1, 25), end=datetime.datetime(2016, 7, 27, 1, 35))",31.3
256,"Row(start=datetime.datetime(2016, 7, 27, 11, 35), end=datetime.datetime(2016, 7, 27, 11, 45))",34.3
257,"Row(start=datetime.datetime(2016, 7, 26, 11, 15), end=datetime.datetime(2016, 7, 26, 11, 25))",34.3
258,"Row(start=datetime.datetime(2016, 7, 27, 13, 45), end=datetime.datetime(2016, 7, 27, 13, 55))",31.7
259,"Row(start=datetime.datetime(2016, 7, 28, 0, 5), end=datetime.datetime(2016, 7, 28, 0, 15))",33.5
260,"Row(start=datetime.datetime(2016, 7, 28, 5, 15), end=datetime.datetime(2016, 7, 28, 5, 25))",32.4
261,"Row(start=datetime.datetime(2016, 7, 27, 1, 55), end=datetime.datetime(2016, 7, 27, 2, 5))",31.9
262,"Row(start=datetime.datetime(2016, 7, 27, 17, 15), end=datetime.datetime(2016, 7, 27, 17, 25))",34.6
263,"Row(start=datetime.datetime(2016, 7, 27, 12, 15), end=datetime.datetime(2016, 7, 27, 12, 25))",33.5
264,"Row(start=datetime.datetime(2016, 7, 27, 3, 15), end=datetime.datetime(2016, 7, 27, 3, 25))",35.4
265,"Row(start=datetime.datetime(2016, 7, 27, 7, 5), end=datetime.datetime(2016, 7, 27, 7, 15))",32.5
266,"Row(start=datetime.datetime(2016, 7, 27, 22, 5), end=datetime.datetime(2016, 7, 27, 22, 15))",33.6
267,"Row(start=datetime.datetime(2016, 7, 27, 4, 15), end=datetime.datetime(2016, 7, 27, 4, 25))",32.9
268,"Row(start=datetime.datetime(2016, 7, 27, 9, 15), end=datetime.datetime(2016, 7, 27, 9, 25))",33.1
269,"Row(start=datetime.datetime(2016, 7, 27, 14, 45), end=datetime.datetime(2016, 7, 27, 14, 55))",34.8
270,"Row(start=datetime.datetime(2016, 7, 27, 19, 35), end=datetime.datetime(2016, 7, 27, 19, 45))",33.1
271,"Row(start=datetime.datetime(2016, 7, 26, 15, 15), end=datetime.datetime(2016, 7, 26, 15, 25))",35.8
272,"Row(start=datetime.datetime(2016, 7, 26, 10, 35), end=datetime.datetime(2016, 7, 26, 10, 45))",33.9
273,"Row(start=datetime.datetime(2016, 7, 26, 15, 55), end=datetime.datetime(2016, 7, 26, 16, 5))",32.7
274,"Row(start=datetime.datetime(2016, 7, 26, 6, 35), end=datetime.datetime(2016, 7, 26, 6, 45))",31.8
275,"Row(start=datetime.datetime(2016, 7, 27, 13, 15), end=datetime.datetime(2016, 7, 27, 13, 25))",33.9
276,"Row(start=datetime.datetime(2016, 7, 27, 21, 5), end=datetime.datetime(2016, 7, 27, 21, 15))",32.3
277,"Row(start=datetime.datetime(2016, 7, 27, 7, 55), end=datetime.datetime(2016, 7, 27, 8, 5))",35.7
278,"Row(start=datetime.datetime(2016, 7, 28, 4, 55), end=datetime.datetime(2016, 7, 28, 5, 5))",34.6
279,"Row(start=datetime.datetime(2016, 7, 26, 6, 25), end=datetime.datetime(2016, 7, 26, 6, 35))",31.4
280,"Row(start=datetime.datetime(2016, 7, 26, 12, 45), end=datetime.datetime(2016, 7, 26, 12, 55))",33.5
281,"Row(start=datetime.datetime(2016, 7, 26, 18, 25), end=datetime.datetime(2016, 7, 26, 18, 35))",35.0
282,"Row(start=datetime.datetime(2016, 7, 26, 14, 45), end=datetime.datetime(2016, 7, 26, 14, 55))",33.7
283,"Row(start=datetime.datetime(2016, 7, 27, 5, 25), end=datetime.datetime(2016, 7, 27, 5, 35))",33.4
284,"Row(start=datetime.datetime(2016, 7, 28, 3, 5), end=datetime.datetime(2016, 7, 28, 3, 15))",36.8
285,"Row(start=datetime.datetime(2016, 7, 27, 0, 35), end=datetime.datetime(2016, 7, 27, 0, 45))",31.7
286,"Row(start=datetime.datetime(2016, 7, 26, 5, 55), end=datetime.datetime(2016, 7, 26, 6, 5))",23.6
287,"Row(start=datetime.datetime(2016, 7, 27, 15, 55), end=datetime.datetime(2016, 7, 27, 16, 5))",35.6
288,"Row(start=datetime.datetime(2016, 7, 26, 21, 35), end=datetime.datetime(2016, 7, 26, 21, 45))",30.6
289,"Row(start=datetime.datetime(2016, 7, 26, 20, 35), end=datetime.datetime(2016, 7, 26, 20, 45))",34.4
290,"Row(start=datetime.datetime(2016, 7, 28, 6, 55), end=datetime.datetime(2016, 7, 28, 7, 5))",14.8
291,"Row(start=datetime.datetime(2016, 7, 28, 4, 5), end=datetime.datetime(2016, 7, 28, 4, 15))",32.7
292,"Row(start=datetime.datetime(2016, 7, 27, 1, 15), end=datetime.datetime(2016, 7, 27, 1, 25))",35.1
293,"Row(start=datetime.datetime(2016, 7, 27, 21, 25), end=datetime.datetime(2016, 7, 27, 21, 35))",32.9
294,"Row(start=datetime.datetime(2016, 7, 26, 8, 55), end=datetime.datetime(2016, 7, 26, 9, 5))",33.7
295,"Row(start=datetime.datetime(2016, 7, 26, 18, 35), end=datetime.datetime(2016, 7, 26, 18, 45))",30.8
296,"Row(start=datetime.datetime(2016, 7, 26, 11, 45), end=datetime.datetime(2016, 7, 26, 11, 55))",32.5
297,"Row(start=datetime.datetime(2016, 7, 28, 3, 55), end=datetime.datetime(2016, 7, 28, 4, 5))",32.7
298,"Row(start=datetime.datetime(2016, 7, 26, 13, 15), end=datetime.datetime(2016, 7, 26, 13, 25))",34.0
299,"Row(start=datetime.datetime(2016, 7, 27, 17, 25), end=datetime.datetime(2016, 7, 27, 17, 35))",32.9
300,"Row(start=datetime.datetime(2016, 7, 26, 18, 15), end=datetime.datetime(2016, 7, 26, 18, 25))",32.8
301,"Row(start=datetime.datetime(2016, 7, 26, 14, 55), end=datetime.datetime(2016, 7, 26, 15, 5))",31.3
302,"Row(start=datetime.datetime(2016, 7, 27, 19, 15), end=datetime.datetime(2016, 7, 27, 19, 25))",33.9
303,"Row(start=datetime.datetime(2016, 7, 28, 5, 25), end=datetime.datetime(2016, 7, 28, 5, 35))",34.4
304,"Row(start=datetime.datetime(2016, 7, 27, 23, 45), end=datetime.datetime(2016, 7, 27, 23, 55))",34.7
305,"Row(start=datetime.datetime(2016, 7, 26, 12, 15), end=datetime.datetime(2016, 7, 26, 12, 25))",33.5
306,"Row(start=datetime.datetime(2016, 7, 27, 17, 5), end=datetime.datetime(2016, 7, 27, 17, 15))",32.1
307,"Row(start=datetime.datetime(2016, 7, 28, 6, 5), end=datetime.datetime(2016, 7, 28, 6, 15))",33.5
308,"Row(start=datetime.datetime(2016, 7, 27, 22, 45), end=datetime.datetime(2016, 7, 27, 22, 55))",35.4
309,"Row(start=datetime.datetime(2016, 7, 27, 13, 55), end=datetime.datetime(2016, 7, 27, 14, 5))",31.2
310,"Row(start=datetime.datetime(2016, 7, 26, 5, 35), end=datetime.datetime(2016, 7, 26, 5, 45))",24.2
311,"Row(start=datetime.datetime(2016, 7, 26, 14, 15), end=datetime.datetime(2016, 7, 26, 14, 25))",32.6
312,"Row(start=datetime.datetime(2016, 7, 28, 7, 5), end=datetime.datetime(2016, 7, 28, 7, 15))",15.3
